ticker,name,sector_etf
1332.T,ニッスイ,1617.T
1333.T,Umios,1617.T
1414.T,ショーボンドホールディングス,1619.T
1417.T,ミライト・ワン,1619.T
1605.T,INPEX,1618.T
1719.T,安藤・間,1619.T
1721.T,コムシスホールディングス,1619.T
1801.T,大成建設,1619.T
1802.T,大林組,1619.T
1803.T,清水建設,1619.T
1808.T,長谷工コーポレーション,1619.T
1812.T,鹿島建設,1619.T
1820.T,西松建設,1619.T
1860.T,戸田建設,1619.T
1878.T,大東建託,1633.T
1893.T,五洋建設,1619.T
1911.T,住友林業,1619.T
1925.T,大和ハウス工業,1619.T
1928.T,積水ハウス,1619.T
1942.T,関電工,1619.T
1944.T,きんでん,1619.T
1951.T,エクシオグループ,1619.T
1959.T,クラフティア,1619.T
1963.T,日揮ホールディングス,1619.T
1969.T,高砂熱学工業,1619.T
2002.T,日清製粉グループ本社,1617.T
2127.T,日本M&Aセンターホールディングス,1626.T
2181.T,パーソルホールディングス,1626.T
2201.T,森永製菓,1617.T
2206.T,江崎グリコ,1617.T
2212.T,山崎製パン,1617.T
2222.T,寿スピリッツ,1617.T
2229.T,カルビー,1617.T
2264.T,森永乳業,1617.T
2267.T,ヤクルト本社,1617.T
2269.T,明治ホールディングス,1617.T
2282.T,日本ハム,1617.T
2327.T,日鉄ソリューションズ,1626.T
2331.T,ALSOK,1626.T
2371.T,カカクコム,1626.T
2413.T,エムスリー,1626.T
2432.T,ディー・エヌ・エー,1626.T
2433.T,博報堂DYホールディングス,1626.T
2501.T,サッポロホールディングス,1617.T
2502.T,アサヒグループホールディングス,1617.T
2503.T,キリンホールディングス,1617.T
2531.T,宝ホールディングス,1617.T
2579.T,コカ・コーラ ボトラーズジャパンホールディングス,1617.T
2587.T,サントリービバレッジ&フード,1617.T
2593.T,伊藤園,1617.T
2607.T,不二製油,1617.T
2670.T,エービーシー・マート,1630.T
2768.T,双日,1629.T
2784.T,アルフレッサ ホールディングス,1629.T
2801.T,キッコーマン,1617.T
2802.T,味の素,1617.T
2809.T,キユーピー,1617.T
2810.T,ハウス食品グループ本社,1617.T
2811.T,カゴメ,1617.T
285A.T,キオクシアホールディングス,1625.T
2871.T,ニチレイ,1617.T
2875.T,東洋水産,1617.T
2897.T,日清食品ホールディングス,1617.T
2914.T,日本たばこ産業,1617.T
3003.T,ヒューリック,1633.T
3038.T,神戸物産,1629.T
3048.T,ビックカメラ,1630.T
3064.T,MonotaRO,1630.T
3086.T,J.フロント リテイリング,1630.T
3088.T,マツキヨココカラ&カンパニー,1630.T
3092.T,ZOZO,1630.T
3099.T,三越伊勢丹ホールディングス,1630.T
3105.T,日清紡ホールディングス,1625.T
3107.T,ダイワボウホールディングス,1629.T
3116.T,トヨタ紡織,1622.T
3132.T,マクニカホールディングス,1629.T
3197.T,すかいらーくホールディングス,1630.T
3231.T,野村不動産ホールディングス,1633.T
3288.T,オープンハウスグループ,1633.T
3289.T,東急不動産ホールディングス,1633.T
3291.T,飯田グループホールディングス,1633.T
3349.T,コスモス薬品,1630.T
3360.T,シップヘルスケアホールディングス,1629.T
3382.T,セブン&アイ・ホールディングス,1630.T
3391.T,ツルハホールディングス,1630.T
3397.T,トリドールホールディングス,1630.T
3401.T,帝人,1620.T
3402.T,東レ,1620.T
3405.T,クラレ,1620.T
3407.T,旭化成,1620.T
3436.T,SUMCO,1619.T
3549.T,クスリのアオキホールディングス,1630.T
3563.T,FOOD & LIFE COMPANIES,1630.T
3591.T,ワコールホールディングス,1620.T
3626.T,TIS,1626.T
3635.T,コーエーテクモホールディングス,1626.T
3659.T,ネクソン,1626.T
3697.T,SHIFT,1626.T
3769.T,GMOペイメントゲートウェイ,1626.T
3774.T,インターネットイニシアティブ,1626.T
3861.T,王子ホールディングス,1620.T
3923.T,ラクス,1626.T
3941.T,レンゴー,1620.T
3994.T,マネーフォワード,1626.T
4004.T,レゾナック・ホールディングス,1620.T
4005.T,住友化学,1620.T
4021.T,日産化学,1620.T
4042.T,東ソー,1620.T
4043.T,トクヤマ,1620.T
4045.T,東亞合成,1620.T
4061.T,デンカ,1620.T
4062.T,イビデン,1625.T
4063.T,信越化学工業,1620.T
4091.T,日本酸素ホールディングス,1620.T
4114.T,日本触媒,1620.T
4118.T,カネカ,1620.T
4151.T,協和キリン,1621.T
417A.T,ブルーゾーンホールディングス,1630.T
4182.T,三菱瓦斯化学,1620.T
4183.T,三井化学,1620.T
4186.T,東京応化工業,1620.T
4188.T,三菱ケミカルグループ,1620.T
4194.T,ビジョナル,1626.T
4202.T,ダイセル,1620.T
4203.T,住友ベークライト,1620.T
4204.T,積水化学工業,1620.T
4205.T,日本ゼオン,1620.T
4206.T,アイカ工業,1620.T
4208.T,UBE,1620.T
4272.T,日本化薬,1620.T
4307.T,野村総合研究所,1626.T
4324.T,電通グループ,1626.T
4385.T,メルカリ,1626.T
4401.T,ADEKA,1620.T
4403.T,日油,1620.T
4452.T,花王,1620.T
4502.T,武田薬品工業,1621.T
4503.T,アステラス製薬,1621.T
4506.T,住友ファーマ,1621.T
4507.T,塩野義製薬,1621.T
4516.T,日本新薬,1621.T
4519.T,中外製薬,1621.T
4523.T,エーザイ,1621.T
4527.T,ロート製薬,1621.T
4528.T,小野薬品工業,1621.T
4536.T,参天製薬,1621.T
4540.T,ツムラ,1621.T
4543.T,テルモ,1625.T
4544.T,H.U.グループホールディングス,1626.T
4568.T,第一三共,1621.T
4578.T,大塚ホールディングス,1621.T
4587.T,ペプチドリーム,1621.T
4612.T,日本ペイントホールディングス,1620.T
4613.T,関西ペイント,1620.T
4626.T,太陽ホールディングス,1620.T
4631.T,DIC,1620.T
4661.T,オリエンタルランド,1626.T
4665.T,ダスキン,1626.T
4666.T,パーク24,1633.T
4676.T,フジ・メディア・ホールディングス,1626.T
4680.T,ラウンドワン,1626.T
4681.T,リゾートトラスト,1626.T
4684.T,オービック,1626.T
4689.T,LINEヤフー,1626.T
4704.T,トレンドマイクロ,1626.T
4716.T,日本オラクル,1626.T
4732.T,ユー・エス・エス,1626.T
4733.T,オービックビジネスコンサルタント,1626.T
4751.T,サイバーエージェント,1626.T
4755.T,楽天グループ,1626.T
4768.T,大塚商会,1626.T
4887.T,サワイグループホールディングス,1621.T
4901.T,富士フイルムホールディングス,1620.T
4902.T,コニカミノルタ,1625.T
4911.T,資生堂,1620.T
4912.T,ライオン,1620.T
4922.T,コーセーホールディングス,1620.T
4927.T,ポーラ・オルビスホールディングス,1620.T
4967.T,小林製薬,1620.T
4980.T,デクセリアルズ,1620.T
5016.T,JX金属,1623.T
5019.T,出光興産,1618.T
5020.T,ENEOSホールディングス,1618.T
5021.T,コスモエネルギーホールディングス,1618.T
5076.T,インフロニア・ホールディングス,1619.T
5101.T,横浜ゴム,1622.T
5105.T,TOYO TIRE,1622.T
5108.T,ブリヂストン,1622.T
5110.T,住友ゴム工業,1622.T
5201.T,AGC,1619.T
5214.T,日本電気硝子,1619.T
5232.T,住友大阪セメント,1619.T
5233.T,太平洋セメント,1619.T
5301.T,東海カーボン,1619.T
5332.T,TOTO,1619.T
5333.T,NGK,1619.T
5334.T,日本特殊陶業,1619.T
5344.T,MARUWA,1619.T
5393.T,ニチアス,1619.T
5401.T,日本製鉄,1623.T
5406.T,神戸製鋼所,1623.T
5411.T,JFEホールディングス,1623.T
5444.T,大和工業,1623.T
5463.T,丸一鋼管,1623.T
5471.T,大同特殊鋼,1623.T
5631.T,日本製鋼所,1624.T
5706.T,三井金属,1623.T
5711.T,三菱マテリアル,1623.T
5713.T,住友金属鉱山,1623.T
5714.T,DOWAホールディングス,1623.T
5801.T,古河電気工業,1623.T
5802.T,住友電気工業,1623.T
5803.T,フジクラ,1623.T
5830.T,いよぎんホールディングス,1631.T
5831.T,しずおかフィナンシャルグループ,1631.T
5832.T,ちゅうぎんフィナンシャルグループ,1631.T
5838.T,楽天銀行,1631.T
5844.T,京都フィナンシャルグループ,1631.T
5901.T,東洋製罐グループホールディングス,1619.T
5929.T,三和ホールディングス,1619.T
5938.T,LIXIL,1619.T
5947.T,リンナイ,1619.T
5991.T,日本発條,1619.T
6005.T,三浦工業,1624.T
6098.T,リクルートホールディングス,1626.T
6113.T,アマダ,1624.T
6134.T,FUJI,1624.T
6136.T,オーエスジー,1624.T
6141.T,DMG森精機,1624.T
6146.T,ディスコ,1624.T
6178.T,日本郵政,1626.T
6268.T,ナブテスコ,1624.T
6269.T,三井海洋開発,1624.T
6273.T,SMC,1624.T
6301.T,小松製作所,1624.T
6302.T,住友重機械工業,1624.T
6305.T,日立建機,1624.T
6323.T,ローツェ,1624.T
6326.T,クボタ,1624.T
6361.T,荏原製作所,1624.T
6367.T,ダイキン工業,1624.T
6368.T,オルガノ,1624.T
6370.T,栗田工業,1624.T
6383.T,ダイフク,1624.T
6417.T,SANKYO,1624.T
6436.T,アマノ,1624.T
6448.T,ブラザー工業,1625.T
6457.T,グローリー,1624.T
6460.T,セガサミーホールディングス,1624.T
6465.T,ホシザキ,1624.T
6471.T,日本精工,1624.T
6472.T,NTN,1624.T
6473.T,ジェイテクト,1624.T
6479.T,ミネベアミツミ,1625.T
6481.T,THK,1624.T
6501.T,日立製作所,1625.T
6503.T,三菱電機,1625.T
6504.T,富士電機,1625.T
6506.T,安川電機,1625.T
6525.T,KOKUSAI ELECTRIC,1625.T
6526.T,ソシオネクスト,1625.T
6532.T,ベイカレント,1626.T
6544.T,ジャパンエレベーターサービスホールディングス,1626.T
6586.T,マキタ,1624.T
6592.T,マブチモーター,1625.T
6632.T,JVCケンウッド,1625.T
6645.T,オムロン,1625.T
6674.T,ジーエス・ユアサ コーポレーション,1625.T
6701.T,日本電気,1625.T
6702.T,富士通,1625.T
6707.T,サンケン電気,1625.T
6723.T,ルネサスエレクトロニクス,1625.T
6724.T,セイコーエプソン,1625.T
6728.T,アルバック,1625.T
6752.T,パナソニック ホールディングス,1625.T
6753.T,シャープ,1625.T
6754.T,アンリツ,1625.T
6758.T,ソニーグループ,1625.T
6762.T,TDK,1625.T
6770.T,アルプスアルパイン,1625.T
6806.T,ヒロセ電機,1625.T
6841.T,横河電機,1625.T
6845.T,アズビル,1625.T
6849.T,日本光電工業,1625.T
6856.T,堀場製作所,1625.T
6857.T,アドバンテスト,1625.T
6861.T,キーエンス,1625.T
6869.T,シスメックス,1625.T
6902.T,デンソー,1622.T
6920.T,レーザーテック,1625.T
6923.T,スタンレー電気,1625.T
6925.T,ウシオ電機,1625.T
6951.T,日本電子,1625.T
6952.T,カシオ計算機,1625.T
6954.T,ファナック,1625.T
6963.T,ローム,1625.T
6965.T,浜松ホトニクス,1625.T
6971.T,京セラ,1625.T
6976.T,太陽誘電,1625.T
6981.T,村田製作所,1625.T
6988.T,日東電工,1620.T
7003.T,三井E&S,1624.T
7011.T,三菱重工業,1624.T
7012.T,川崎重工業,1622.T
7013.T,IHI,1624.T
7164.T,全国保証,1632.T
7167.T,めぶきフィナンシャルグループ,1631.T
7180.T,九州フィナンシャルグループ,1631.T
7181.T,かんぽ生命保険,1632.T
7182.T,ゆうちょ銀行,1631.T
7186.T,横浜フィナンシャルグループ,1631.T
7189.T,西日本フィナンシャルホールディングス,1631.T
7201.T,日産自動車,1622.T
7202.T,いすゞ自動車,1622.T
7203.T,トヨタ自動車,1622.T
7211.T,三菱自動車工業,1622.T
7240.T,NOK,1622.T
7259.T,アイシン,1622.T
7261.T,マツダ,1622.T
7267.T,本田技研工業,1622.T
7269.T,スズキ,1622.T
7270.T,SUBARU,1622.T
7272.T,ヤマハ発動機,1622.T
7276.T,小糸製作所,1625.T
7282.T,豊田合成,1622.T
7309.T,シマノ,1622.T
7313.T,テイ・エス テック,1622.T
7337.T,ひろぎんホールディングス,1631.T
7453.T,良品計画,1630.T
7458.T,第一興商,1629.T
7459.T,メディパルホールディングス,1629.T
7476.T,アズワン,1629.T
7532.T,パン・パシフィック・インターナショナルホールディングス,1630.T
7550.T,ゼンショーホールディングス,1630.T
7616.T,コロワイド,1630.T
7649.T,スギホールディングス,1630.T
7701.T,島津製作所,1625.T
7729.T,東京精密,1625.T
7731.T,ニコン,1625.T
7733.T,オリンパス,1625.T
7735.T,SCREENホールディングス,1625.T
7741.T,HOYA,1625.T
7747.T,朝日インテック,1625.T
7751.T,キヤノン,1625.T
7752.T,リコー,1625.T
7832.T,バンダイナムコホールディングス,1626.T
7846.T,パイロットコーポレーション,1626.T
7867.T,タカラトミー,1626.T
7911.T,TOPPANホールディングス,1626.T
7912.T,大日本印刷,1626.T
7936.T,アシックス,1626.T
7951.T,ヤマハ,1626.T
7956.T,ピジョン,1626.T
7974.T,任天堂,1626.T
7984.T,コクヨ,1626.T
7988.T,ニフコ,1620.T
8001.T,伊藤忠商事,1629.T
8002.T,丸紅,1629.T
8012.T,長瀬産業,1629.T
8015.T,豊田通商,1629.T
8020.T,兼松,1629.T
8031.T,三井物産,1629.T
8035.T,東京エレクトロン,1625.T
8053.T,住友商事,1629.T
8056.T,BIPROGY,1626.T
8058.T,三菱商事,1629.T
8060.T,キヤノンマーケティングジャパン,1629.T
8086.T,ニプロ,1625.T
8088.T,岩谷産業,1629.T
8111.T,ゴールドウイン,1620.T
8113.T,ユニ・チャーム,1620.T
8129.T,東邦ホールディングス,1629.T
8136.T,サンリオ,1629.T
8174.T,日本瓦斯,1630.T
8227.T,しまむら,1630.T
8233.T,高島屋,1630.T
8242.T,エイチ・ツー・オー リテイリング,1630.T
8252.T,丸井グループ,1630.T
8253.T,クレディセゾン,1632.T
8267.T,イオン,1630.T
8282.T,ケーズホールディングス,1630.T
8283.T,PALTAC,1629.T
8303.T,SBI新生銀行,1631.T
8304.T,あおぞら銀行,1631.T
8306.T,三菱UFJフィナンシャル・グループ,1631.T
8308.T,りそなホールディングス,1631.T
8309.T,三井住友トラストグループ,1631.T
8316.T,三井住友フィナンシャルグループ,1631.T
8331.T,千葉銀行,1631.T
8334.T,群馬銀行,1631.T
8341.T,七十七銀行,1631.T
8354.T,ふくおかフィナンシャルグループ,1631.T
8359.T,八十二長野銀行,1631.T
8377.T,ほくほくフィナンシャルグループ,1631.T
8410.T,セブン銀行,1631.T
8411.T,みずほフィナンシャルグループ,1631.T
8418.T,山口フィナンシャルグループ,1631.T
8424.T,芙蓉総合リース,1632.T
8439.T,東京センチュリー,1632.T
8473.T,SBIホールディングス,1632.T
8570.T,イオンフィナンシャルサービス,1632.T
8572.T,アコム,1632.T
8591.T,オリックス,1632.T
8593.T,三菱HCキャピタル,1632.T
8595.T,ジャフコ グループ,1632.T
8601.T,大和証券グループ本社,1632.T
8604.T,野村ホールディングス,1632.T
8630.T,SOMPOホールディングス,1632.T
8697.T,日本取引所グループ,1632.T
8725.T,MS&ADインシュアランスグループホールディングス,1632.T
8729.T,ソニーフィナンシャルグループ,1632.T
8750.T,第一ライフグループ,1632.T
8766.T,東京海上ホールディングス,1632.T
8795.T,T&Dホールディングス,1632.T
8801.T,三井不動産,1633.T
8802.T,三菱地所,1633.T
8804.T,東京建物,1633.T
8830.T,住友不動産,1633.T
8876.T,リログループ,1626.T
9001.T,東武鉄道,1628.T
9003.T,相鉄ホールディングス,1628.T
9005.T,東急,1628.T
9006.T,京浜急行電鉄,1628.T
9007.T,小田急電鉄,1628.T
9008.T,京王電鉄,1628.T
9009.T,京成電鉄,1628.T
9020.T,東日本旅客鉄道,1628.T
9021.T,西日本旅客鉄道,1628.T
9022.T,東海旅客鉄道,1628.T
9023.T,東京地下鉄,1628.T
9024.T,西武ホールディングス,1628.T
9031.T,西日本鉄道,1628.T
9041.T,近鉄グループホールディングス,1628.T
9042.T,阪急阪神ホールディングス,1628.T
9044.T,NANKAI,1628.T
9045.T,京阪ホールディングス,1628.T
9048.T,名古屋鉄道,1628.T
9064.T,ヤマトホールディングス,1628.T
9065.T,山九,1628.T
9069.T,センコーグループホールディングス,1628.T
9072.T,ニッコンホールディングス,1628.T
9076.T,セイノーホールディングス,1628.T
9101.T,日本郵船,1628.T
9104.T,商船三井,1628.T
9107.T,川崎汽船,1628.T
9142.T,九州旅客鉄道,1628.T
9143.T,SGホールディングス,1628.T
9147.T,NIPPON EXPRESSホールディングス,1628.T
9201.T,日本航空,1628.T
9202.T,ANAホールディングス,1628.T
9301.T,三菱倉庫,1628.T
9302.T,三井倉庫ホールディングス,1628.T
9364.T,上組,1628.T
9401.T,TBSホールディングス,1626.T
9404.T,日本テレビホールディングス,1626.T
9432.T,NTT,1626.T
9433.T,KDDI,1626.T
9434.T,ソフトバンク,1626.T
9435.T,光通信,1626.T
9449.T,GMOインターネットグループ,1626.T
9468.T,KADOKAWA,1626.T
9501.T,東京電力ホールディングス,1627.T
9502.T,中部電力,1627.T
9503.T,関西電力,1627.T
9504.T,中国電力,1627.T
9505.T,北陸電力,1627.T
9506.T,東北電力,1627.T
9507.T,四国電力,1627.T
9508.T,九州電力,1627.T
9509.T,北海道電力,1627.T
9513.T,電源開発,1627.T
9531.T,東京瓦斯,1627.T
9532.T,大阪瓦斯,1627.T
9533.T,東邦瓦斯,1627.T
9602.T,東宝,1626.T
9616.T,共立メンテナンス,1626.T
9627.T,アインホールディングス,1630.T
9684.T,スクウェア・エニックス・ホールディングス,1626.T
9697.T,カプコン,1626.T
9706.T,日本空港ビルデング,1633.T
9735.T,セコム,1626.T
9744.T,メイテックグループホールディングス,1626.T
9759.T,NSD,1626.T
9766.T,コナミグループ,1626.T
9831.T,ヤマダホールディングス,1630.T
9843.T,ニトリホールディングス,1630.T
9861.T,吉野家ホールディングス,1630.T
9934.T,因幡電機産業,1629.T
9962.T,ミスミグループ本社,1629.T
9983.T,ファーストリテイリング,1630.T
9984.T,ソフトバンクグループ,1626.T
9987.T,スズケン,1629.T
9989.T,サンドラッグ,1630.T
